issuer_name,cusip,instrument_id,mi_key,actual_spread,predicted_spread,cheapness_bps,downgrade_prob_4q,sp_rating,rating_numeric,modified_duration,quadrant,rv_long_score,rv_short_score
Ameritech Capital Funding Corporation,030955AJ7,SPS14047511,4150236,114.35885,90.64841804504225,23.710431954957755,,BBB,9.0,1.29452,Long (cheap+safe),11.855215977478878,-11.855215977478878
"El Paso Natural Gas Company, L.L.C.",283695BE3,SPS14037911,4057159,55.1647,32.89389216949334,22.270807830506662,,BBB+,8.0,0.45056,Long (cheap+safe),11.135403915253331,-11.135403915253331
Connecticut Natural Gas Corporation,20765QAK1,SPS37846246,4059402,138.59574,127.04891261346883,11.546827386531177,0.03741121059146123,BBB+,8.0,7.98583,Long (cheap+safe),11.114846595510407,-0.43198079102076975
Pacific Gas and Electric Company,694308KV8,SPS1932376729,4004218,174.74511,161.92416260740154,12.82094739259847,0.14699392038597603,BBB+,8.0,13.05096,Long (cheap+safe),10.936346072298063,-1.8846013203004064
Citigroup Inc.,17290AHK9,SPS712751877,4041896,144.39003,132.64997667864083,11.74005332135917,0.0856521308754484,BBB+,8.0,10.95791,Long (cheap+safe),10.73449273779337,-1.0055605835657984
Southern California Edison Company,842400FH1,SPS40123953,4009083,138.84191,126.9146906049824,11.927219395017616,0.16143408731704326,BBB+,8.0,8.20025,Long (cheap+safe),10.00175961775281,-1.9254597772648057
Citigroup Inc.,1730T3BB8,SPS165288847,4041896,139.10847,128.19362235833944,10.914847641660572,0.0856521308754484,BBB+,8.0,7.90693,Long (cheap+safe),9.97996768297148,-0.9348799586890906
Boston Properties Limited Partnership,10112RBE3,SPS706230363,4064347,94.7415,84.30888699489762,10.432613005102382,0.06830797809479218,BBB,9.0,5.26716,Long (cheap+safe),9.719982304478405,-0.7126307006239776
Verizon Virginia LLC,165087AL1,SPS14003433,4057242,58.8579,40.6101940840627,18.247705915937303,,BBB+,8.0,2.89928,Long (cheap+safe),9.123852957968651,-9.123852957968651
Expand Energy Corporation,845467AR0,SPS1675972149,4010492,116.65765,100.73478023554665,15.922869764453353,,BBB-,10.0,2.4177,Long (cheap+safe),7.961434882226676,-7.961434882226676
Boston Gas Company,100743AN3,SPS1848145517,4057111,163.5612,147.91404013786553,15.647159862134487,,BBB+,8.0,12.79487,Long (cheap+safe),7.823579931067243,-7.823579931067243
Boston Gas Company,U0568KAE6,SPS1848226543,4057111,163.5612,147.91404013786553,15.647159862134487,,BBB+,8.0,12.79487,Long (cheap+safe),7.823579931067243,-7.823579931067243
Ladder Capital Finance Holdings LLLP,505742AQ9,SPS717945595,4237798,133.12519,118.3545694618473,14.770620538152698,,BB+,11.0,2.73107,Long (cheap+safe),7.385310269076349,-7.385310269076349
Pacific Gas and Electric Company,694308JJ7,SPS672614175,4004218,156.78017,148.834168955318,7.946001044681992,0.14699392038597603,BBB+,8.0,13.87351,Long (cheap+safe),6.777987199733125,-1.168013844948867
"Warner Media, LLC",887317AL9,SPS129184239,4120680,266.18451,252.77578356817335,13.408726431826636,,BB,12.0,9.19055,Long (cheap+safe),6.704363215913318,-6.704363215913318
Jefferies Financial Group Inc.,472319AC6,SPS14559250,103464,152.61399,141.83221465718765,10.781775342812352,0.3941554534165877,BBB,9.0,7.04253,Trap (cheap+risky),6.5320797939303645,-4.249695548881988
PacifiCorp,695114CA4,SPS28602401,4001587,119.35275,111.8945348166631,7.458215183336904,0.1745590093962375,BBB+,8.0,7.4329,Trap (cheap+risky),6.1563165290696364,-1.301898654267268
"Nationwide Financial Services, Inc.",U63752AB2,SPS277593059,108270,158.82549,150.6591720769612,8.166317923038804,,BBB+,8.0,11.27098,Long (cheap+safe),4.083158961519402,-4.083158961519402
"Nationwide Financial Services, Inc.",638612AL5,SPS277592989,108270,158.82549,150.6591720769612,8.166317923038804,,BBB+,8.0,11.27098,Long (cheap+safe),4.083158961519402,-4.083158961519402
Southern California Edison Company,842400EZ2,SPS14172129,4009083,138.97831,134.17245757644534,4.805852423554654,0.16143408731704326,BBB+,8.0,7.20919,Long (cheap+safe),4.030024023777709,-0.775828399776946
Pacific Gas and Electric Company,694308LB1,SPS1983758881,4004218,174.00237,169.59846716479467,4.4039028352053435,0.14699392038597603,BBB+,8.0,13.29003,Long (cheap+safe),3.756555892459595,-0.6473469427457483
Global Payments Inc.,37940XAH5,SPS1758571575,4090258,122.39626,117.28896668864625,5.107293311353743,0.3268849532905372,BBB-,10.0,4.91963,Trap (cheap+risky),3.437795975830802,-1.6694973355229412
Verizon Communications Inc.,92346MAY7,SPS430326865,4057229,171.40973,168.21105626398864,3.198673736011358,0.10319396477344395,BBB+,8.0,12.06966,Long (cheap+safe),2.8685899111756616,-0.3300838248356964
"Indiana Gas Company, Inc.",45475QAH6,SPS14044868,4057125,52.24167,46.72691529114911,5.514754708850887,,BBB+,8.0,1.04565,Long (cheap+safe),2.7573773544254436,-2.7573773544254436
Jefferies Financial Group Inc.,47233WLP2,SPS1978548739,103464,118.30582,114.34030347599487,3.9655165240051247,0.3941554534165877,BBB,9.0,4.78769,Trap (cheap+risky),2.402486560454914,-1.5630299635502107
The Dayton Power and Light Company,240019BV0,SPS618234451,4017451,135.0632,133.0161051375004,2.0470948624995913,0.06321727071480847,BBB+,8.0,13.28692,Long (cheap+safe),1.917683112398061,-0.12941175010153028
Southern California Edison Company,842400EV1,SPS14157728,4009083,127.58207,126.00794749271716,1.574122507282837,0.16143408731704326,BBB+,8.0,6.81007,Long (cheap+safe),1.3200054769944165,-0.2541170302884206
Belo Corp.,080555AF2,SPS14046964,4121666,129.22694,126.87383796649056,2.353102033509458,,BB+,11.0,1.21005,Long (cheap+safe),1.176551016754729,-1.176551016754729
"Charter Communications Operating, LLC",161175CJ1,SPS1774063860,4137131,153.22718,150.94560051117963,2.2815794888203698,,BBB-,10.0,5.72667,Long (cheap+safe),1.1407897444101849,-1.1407897444101849
"ONEOK, Inc.",682680BF9,SPS666570504,4010846,171.9786,170.41084419289885,1.5677558071011504,,BBB,9.0,11.83921,Long (cheap+safe),0.7838779035505752,-0.7838779035505752
"Indiana Bell Telephone Company, Incorporated",454614AL2,SPS32213435,4057194,66.36078,64.88593485288617,1.4748451471138395,,BBB,9.0,0.20606,Long (cheap+safe),0.7374225735569198,-0.7374225735569198
Ford Motor Company,345370BH2,SPS14009291,113873,143.30575,142.6241437551721,0.6816062448278899,0.40014708018647954,BBB-,10.0,4.38685,Trap (cheap+risky),0.40886349612313905,-0.27274274870475085
Southern California Edison Company,842400EW9,SPS32224676,4009083,127.58207,127.14180635519669,0.44026364480330926,0.16143408731704326,BBB+,8.0,6.81007,Long (cheap+safe),0.36919008512561213,-0.07107355967769714
PacifiCorp,695114CU0,SPS604263577,4001587,60.54679,60.7668580590882,-0.2200680590881987,0.1745590093962375,BBB+,8.0,2.79757,Trap (cheap+risky),-0.1816531966940101,0.03841486239418863
Southern California Edison Company,842400FC2,SPS25628949,4009083,128.28351,128.66507506528788,-0.38156506528787304,0.16143408731704326,BBB+,8.0,7.24984,Long (cheap+safe),-0.31996745722105724,0.06159760806681581
Southern California Edison Company,842400FE8,SPS32224677,4009083,128.28351,128.66507506528788,-0.38156506528787304,0.16143408731704326,BBB+,8.0,7.24984,Long (cheap+safe),-0.31996745722105724,0.06159760806681581
