SPGTable,,,,,,,,,,,
Issuer Name,Instrument Item ID,MI KEY,CUSIP,Description,"Callable?
Yes/No","Next Call Date
MM/dd/yyyy","First Callable Payment Date
MM/dd/yyyy",Seniority Level,Debt Type Detail,"Maturity Date
MM/dd/yyyy",Maturity Type
SPT_ISSUER_NAME,SPT_INSTRUMENT_ITEM_ID,SPT_MI_KEY,SPT_CUSIP,SPT_DESCRIPTION,SPT_CALLABLE,SPT_NEXT_CALL_DATE,SPT_FIRST_CALLABLE_PAYMENT_DATE,SPT_SENIORITY_LEVEL,SPT_DEBT_TYPE_DETAIL,SPT_MAT_DATE,SPT_MATURITY_TYPE
,,,,,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price,EOD Close Price
,,,,,11/28/2025,10/31/2025,9/30/2025,8/29/2025,7/31/2025,5/30/2025,4/30/2025
"Duke Energy Indiana, LLC",SPS14551614,4062444,693627AY7,DUKEENAB 6.12 10/15/2035 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"49,597.00000",Fixed Maturity
"Duke Energy Kentucky, Inc.",SPS26281773,4057103,906888AS1,DEK 6.2 03/10/2036 FIX USD Corporate 144A,Yes,,,Senior Unsecured,Bond,"49,744.00000",Fixed Maturity
"Duke Energy Ohio, Inc.",SPS14057038,4057079,172070CG7,DUKENO 6.35 06/15/2038 FLT USD Corporate,Yes,6/15/2028,6/15/2003,Senior Unsecured,Bond,6/15/2038,Fixed Maturity
"Duke Energy Ohio, Inc.",SPS14139774,4057079,172070CP7,DUKENO 5.4 06/15/2033 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"48,745.00000",Fixed Maturity
"Duke Energy Ohio, Inc.",SPS14139775,4057079,172070CQ5,DUKENO 5.375 06/15/2033 FIX USD Corporate,Yes,,,Senior Unsecured,Bond,"48,745.00000",Fixed Maturity
El Paso LLC,SPS227398570,4010586,U53248AP2,KINDERM 7.42 02/15/2037 FIX USD Corporate RegS,No,,,Senior Unsecured,Bond,"50,086.00000",Fixed Maturity
El Paso LLC,SPS28714186,4010586,28336LBG3,KINDERM 7.42 02/15/2037 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,"50,086.00000",Fixed Maturity
El Paso LLC,SPS28714188,4010586,28336LBA6,KINDERM 02/15/2027 FIX USD Corporate 144A,No,,,Senior Unsecured,Bond,2/15/2027,Fixed Maturity
El Paso LLC,SPS28969902,4010586,28336LBB4,ELPASAL 6.7 02/15/2027 FIX USD Corporate,No,,,Senior Unsecured,Bond,"46,433.00000",Fixed Maturity
El Paso LLC,SPS28969935,4010586,28336LBH1,KINDERM 7.42 02/15/2037 FIX USD Corporate,No,,,Senior Unsecured,Bond,"50,086.00000",Fixed Maturity
